study_accession,sample_accession,country,material,biome,feature,experiment_accession,run_accession,tax_id,scientific_name,instrument_platform,library_layout,library_source,library_selection,read_count,center_name,first_public,study_title,fastq_ftp,fastq_galaxy,submitted_ftp,sra_bytes,sra_ftp,sample_alias,sample_title
PRJEB28482,SAMEA4883614,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789919,ERR2777842,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,910994,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/002/ERR2777842/ERR2777842.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/002/ERR2777842/ERR2777842.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777842/303712.050.upload.fastq.trim.gz,57253494,ftp.sra.ebi.ac.uk/vol1/err/ERR277/002/ERR2777842,mgs566775,717R_0.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883615,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789920,ERR2777843,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,292976,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/003/ERR2777843/ERR2777843.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/003/ERR2777843/ERR2777843.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777843/301992.050.upload.fastq.trim.gz,32016758,ftp.sra.ebi.ac.uk/vol1/err/ERR277/003/ERR2777843,mgs565861,761C_20.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883616,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789921,ERR2777844,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,296152,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/004/ERR2777844/ERR2777844.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/004/ERR2777844/ERR2777844.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777844/319158.050.upload.fastq.trim.gz,34202745,ftp.sra.ebi.ac.uk/vol1/err/ERR277/004/ERR2777844,mgs589877,849C_30.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883617,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789922,ERR2777845,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,538821,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/005/ERR2777845/ERR2777845.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/005/ERR2777845/ERR2777845.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777845/319704.050.upload.fastq.trim.gz,62849445,ftp.sra.ebi.ac.uk/vol1/err/ERR277/005/ERR2777845,mgs591144,849C_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883618,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789923,ERR2777846,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,499975,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/006/ERR2777846/ERR2777846.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/006/ERR2777846/ERR2777846.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777846/319818.050.upload.fastq.trim.gz,58083386,ftp.sra.ebi.ac.uk/vol1/err/ERR277/006/ERR2777846,mgs591573,734C_30.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883619,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789924,ERR2777847,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,379783,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/007/ERR2777847/ERR2777847.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/007/ERR2777847/ERR2777847.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777847/303277.050.upload.fastq.trim.gz,42180216,ftp.sra.ebi.ac.uk/vol1/err/ERR277/007/ERR2777847,mgs565920,849R_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883620,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789925,ERR2777848,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,913597,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/008/ERR2777848/ERR2777848.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/008/ERR2777848/ERR2777848.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777848/303276.050.upload.fastq.trim.gz,58313761,ftp.sra.ebi.ac.uk/vol1/err/ERR277/008/ERR2777848,mgs565917,849R_0.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883621,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789926,ERR2777849,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,936026,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/009/ERR2777849/ERR2777849.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/009/ERR2777849/ERR2777849.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777849/319438.050.upload.fastq.trim.gz,57001995,ftp.sra.ebi.ac.uk/vol1/err/ERR277/009/ERR2777849,mgs590445,772C_0.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883622,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789927,ERR2777850,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,629326,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/000/ERR2777850/ERR2777850.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/000/ERR2777850/ERR2777850.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777850/319819.050.upload.fastq.trim.gz,65397515,ftp.sra.ebi.ac.uk/vol1/err/ERR277/000/ERR2777850,mgs591576,761R_30.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883623,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789928,ERR2777851,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,503359,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/001/ERR2777851/ERR2777851.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/001/ERR2777851/ERR2777851.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777851/319703.050.upload.fastq.trim.gz,57540246,ftp.sra.ebi.ac.uk/vol1/err/ERR277/001/ERR2777851,mgs591141,802R_30.fastq Taxonomy ID:256318
